Mês,Variável,Valor,Un
setembro 1985,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000011940075,Número-índice
setembro 1985,IPCA - Variação mensal,11.12,%
setembro 1985,IPCA - Variação acumulada em 3 meses,37.35,%
setembro 1985,IPCA - Variação acumulada em 6 meses,72.83,%
setembro 1985,IPCA - Variação acumulada no ano,135.90,%
setembro 1985,IPCA - Variação acumulada em 12 meses,222.43,%
outubro 1985,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000013207687,Número-índice
outubro 1985,IPCA - Variação mensal,10.62,%
outubro 1985,IPCA - Variação acumulada em 3 meses,37.72,%
outubro 1985,IPCA - Variação acumulada em 6 meses,76.69,%
outubro 1985,IPCA - Variação acumulada no ano,160.94,%
outubro 1985,IPCA - Variação acumulada em 12 meses,222.95,%
novembro 1985,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000015053189,Número-índice
novembro 1985,IPCA - Variação mensal,13.97,%
